ID,Free Time Activities,Successful_Project,Recognition_Awards,Easy_Tasks,Feedback_Talent,Learn_Improve_Skill,Problem_Solving,Energizing_Tasks,Talents
13,"Graphic Designing, Cooking, Playing Guitar",Sculpted a lifelike bust of a historical figure,Featured in a pottery exhibition at a local gallery,Finds decorating cakes with intricate designs effortless,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Finds designing album covers for bands inspiring,Dancing,baking
17,"Dancing, Cooking, Playing Soccer",Sculpted a lifelike bust of a historical figure,Featured in a pottery exhibition at a local gallery,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in English and Dance classes,Finds designing album covers for bands inspiring,Dancing,Programming
13,"Sculpting, Gardening, Playing Guitar",Published a collection of short stories,Received accolades for clean and modern design styleDesign and Music classes,Can easily create vector graphics from scratch,Used creative problem-solving to overcome writer's block,Excelled in Photography and Music classes,Finds experimenting with new baking recipes exciting,baking,baking
10,"Graphic Designing, Cooking, Playing Guitar",Contributed code to an open-source project used by thousands,Received accolades for clean and modern design styleDesign and Music classes,Has a natural talent for shaping clay,Used creative problem-solving to capture a difficult shot,,Finds experimenting with new baking recipes exciting,,Cooking
8,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Featured in a pottery exhibition at a local gallery,Finds breaking down complex problems into manageable tasks easy,Used innovative techniques to repair a damaged sculpture,Excelled in Art and History classes,Finds designing album covers for bands inspiring,Dancing,Graphic Designing
22,"Pottery, Cooking, Traveling",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Has a good sense of timing when cooking multiple dishes simultaneously,Solved a cooking disaster by salvaging the meal creatively,Excelled in Ceramics and Geography classes,Finds pottery workshops with fellow artists stimulating,knitting,photography
1,"Graphic Designing, Cooking, Playing Guitar",Captured breathtaking landscapes during a hiking trip,Received recognition from the project maintainers,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Enjoyed Home Economics and Art classes the most,Finds writing in a cozy cafe with ambient noise inspiring,"Cooking, Gaming",baking
9,"Graphic Designing, Cooking, Playing Guitar",Painted a landscape with vibrant colors,Best Artist of the Year,Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,,Participating in gaming competitions with friends,Gaming,knitting
12,"Photography, Hiking, Playing Piano",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Dancing feels effortless and joyful,Used design thinking to improve website navigation,Excelled in Dance and Physical Education classes,Experimenting with machine learning algorithms,knitting,sculpting
12,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Received recognition for innovative cooking techniques,Dancing feels effortless and joyful,Used creative problem-solving to salvage a baking mishap,,Finds writing in a cozy cafe with ambient noise inspiring,,pottery
7,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Received MVP (Most Valuable Player) award,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Art and History classes,Finds designing album covers for bands inspiring,Exploring new painting techniques and styles,knitting
6,"Graphic Designing, Cooking, Playing Guitar",Published a collection of short stories,Received MVP (Most Valuable Player) award,Quickly adapts to new gaming mechanics,Solved a difficult level puzzle by devising a unique strategy,Excelled in Art and History classes,Finds sculpting outdoors surrounded by nature inspiring,Exploring new painting techniques and styles,Gaming
10,"Dancing, Cooking, Playing Soccer",Captured breathtaking landscapes during a hiking trip,"Received ""Knitter of the Year"" Award",Finds knitting stitch patterns intuitive,Solved a design problem by incorporating artistic elements,,Finds photography during golden hour exhilarating,Gaming,Gaming
1,"Gaming, Reading",Choreographed a dance routine for a school talent show,Received recognition for realistic sculpting style,Finds knitting stitch patterns intuitive,Used creative problem-solving to salvage a baking mishap,Excelled in Art and History classes,Excelled in Art classes,"Programming, Writing",writing
22,"Photography, Hiking, Playing Piano",Published a collection of short stories,Featured in a pottery exhibition at a local gallery,Has a good sense of timing when cooking multiple dishes simultaneously,Solved a critical bug with minimal downtime,Excelled in Computer Science classes,Finds photography during golden hour exhilarating,"Programming, Writing",writing
12,"Pottery, Cooking, Traveling",Contributed code to an open-source project used by thousands,Received applause for creativity and coordination,Finds throwing clay on a pottery wheel relaxing,Used creative problem-solving to overcome writer's block,Excelled in Ceramics and Geography classes,Finds knitting while listening to audiobooks relaxing,"Cooking, Gaming",knitting
6,"Programming, Writing, Hiking",Captured breathtaking landscapes during a hiking trip,Featured in a pottery exhibition at a local gallery,Can easily create vector graphics from scratch,Solved a knitting pattern challenge by creating a customized design,Excelled in Design and Music classes,Finds sculpting outdoors surrounded by nature inspiring,writing,Cooking
9,"Sculpting, Gardening, Playing Guitar",Won first place in a regional eSports tournament,Received recognition from the project maintainers,Finds breaking down complex problems into manageable tasks easy,Solved a critical bug with minimal downtime,Excelled in Computer Science classes,Participating in gaming competitions with friends,"Programming, Writing",writing
10,"Painting,cooking , playing musical instrument",Created a set of handcrafted ceramic mugs,"Received ""Knitter of the Year"" Award",Painting comes naturally to me,Solved a difficult level puzzle by devising a unique strategy,,Experimenting with machine learning algorithms,Dancing,baking
10,"Graphic Designing, Cooking, Playing Guitar",Choreographed a dance routine for a school talent show,"Received ""Knitter of the Year"" Award",Has a natural talent for shaping clay,Solved a cooking disaster by salvaging the meal creatively,Excelled in Design and Music classes,Finds designing album covers for bands inspiring,knitting,Dancing
17,"Gaming, Reading",Contributed code to an open-source project used by thousands,Received recognition from the project maintainers,Painting comes naturally to me,Used innovative techniques to repair a damaged sculpture,Excelled in Computer Science and English classes,Experimenting with machine learning algorithms,"Programming, Writing",pottery
